date,channel,recipient_or_platform,subject_or_rfq,status,message_id,next_action
2026-05-30,Alibaba RFQ,Alibaba.com supplier RFQ/chat,2000Wh and 3000Wh LiFePO4 solar generator RFQs,prepared_login_required,,Send inside Alibaba account with Trade Assurance required
2026-05-30,Alibaba RFQ,Alibaba.com supplier RFQ/chat,550W-650W solar panel RFQs,prepared_login_required,,Send inside Alibaba account with IEC document requirements and CIF Kingston request
2026-05-30,email,Syncee support <support@syncee.com>,Jamaica shipping confirmation for S.E.T. solar accessories,delivered_opened,<202605301733.73437990609@smtp-relay.mailin.fr>,Await shipping/supplier guidance before Syncee listing
2026-05-30,email,CJdropshipping support <support@cjdropshipping.com>,Jamaica shipping and battery document confirmation for S.E.T. sample products,delivered,<202605301733.95798687490@smtp-relay.mailin.fr>,Await shipping/battery documentation before sample order
2026-05-31,Alibaba RFQ,Anhui Solar Planet Technology Co. Ltd. - Roy Zhu,580W-650W solar panel quote,response_received,,Reply asking FOB/EXW/CIF status exact model documents warranty pallet details CIF Kingston and Trade Assurance
2026-05-31,Alibaba RFQ,Hangzhou Great Energy Technology Co. Ltd. - zhang qianqian luna,TW Solar TNC 2.0 N-Type TOPCon bifacial 620W-640W quote,response_received,,Reply confirming RMB 0.92 is per watt or per panel; correct bifaciality typo; request exact certificates warranty CIF Kingston pallet terms and Trade Assurance
2026-05-31,Alibaba RFQ,SOLAR POWER VIET NAM TECHNOLOGY JOINT STOCK COMPANY - Phuong Dinh,SPV 590W N-Type TOPCon bifacial dual-glass panel,response_received,,Reply confirming project-based Jamaica procurement; request pallet/half-container/full-container pricing exact certificates CIF Kingston flash/EL reports warranty packaging and Trade Assurance
2026-05-31,Alibaba RFQ,Bluesun Outdoor Energy Co. Ltd. - Jade Bluesun,TOPCon/Trina dual-glass bifacial 600W panel quote,response_received,,Reply asking whether quote is Bluesun or authorized Trina supply; request exact model certificates CIF Kingston warranty packaging breakage policy and Trade Assurance
2026-05-31,Alibaba RFQ,Bluesun Outdoor Energy Co. Ltd. - Jade Bluesun,purchasing quantity follow-up,response_received,,Reply with 100 panels as pilot/project quantity plus 100000W and 300000W comparison pricing; state no commitment until documents authorization CIF Kingston warranty breakage and Trade Assurance are verified
2026-05-31,Alibaba RFQ,Rosenpv Solar Energy Co. Ltd. - Jolin Rosenpv,600W solar panel half cell with inverter battery quote,response_received,,Reply clarifying whether USD 1.00-1.10/W is panel-only or inverter/battery bundle; request N-Type TOPCon bifacial panel-only quote exact documents CIF Kingston and Trade Assurance
2026-05-31,Alibaba RFQ,Dongguan Zhongbang Mold Cutting Products Co. Ltd.,RFQ quotation visible,details_needed,,Open Alibaba quotation and verify relevance to solar panel or accessory lane
2026-05-31,Alibaba RFQ,Alibaba remaining generator RFQs,2000Wh 3000Wh UPS and 1000W/2000W portable power station RFQ packet,prepared_login_required,,Use SET-JAMAICA-REMAINING-RFQ-SEND-QUEUE-2026-05-31.md inside Alibaba; log accepted submissions and any daily limit warning
2026-05-31,Alibaba RFQ,Alibaba.com,All remaining RFQs posted,posted_confirmed_by_wayne,,Move to response tracking; do not re-post duplicates unless Alibaba rejects or expires an RFQ
