lane,sku_or_partner,name,channel,source_url_or_link,status,must_verify_before_publish,next_action
main,SET-GEN-2000WH-001,2000W / 2000Wh LiFePO4 Solar Generator,Alibaba,https://www.alibaba.com/product-introduction/2000W-2000WH-Portable-Power-Station-Bank_1600610702204.html,draft_hidden_rfq,Jamaica shipping; 120V/60Hz; pure sine wave; MPPT; CE/FCC/RoHS/UN38.3/MSDS; warranty; sample,Send RFQ and hold public listing until supplier verification/sample testing
main,SET-GEN-3000WH-001,3000W / 3200Wh LiFePO4 UPS Solar Generator,Alibaba,https://www.alibaba.com/product-detail/Lipower-3000w-3200wh-with-UPS-function_1600873799071.html,draft_hidden_rfq,Jamaica freight; 120V/60Hz; UPS behavior; pure sine wave; certifications; warranty; sample,Send RFQ and hold quote listing until datasheet/freight/warranty verified
main,SET-GEN-296WH-001,296Wh Mini Portable Power Station,CJdropshipping,https://cjdropshipping.com/product/power-station-296wh-lithium-battery-mobile-power-supply-80000mah-portable-rechargeable-battery-outdoor-energy-storage-power-supply-p-1912438641359503362.html,draft_hidden_sample_first,Jamaica shipping; battery chemistry; sample; warranty/refund process,Calculate Jamaica shipping and order one sample only if safety details are acceptable
main,SET-PANEL-550-610W-001,550W-610W Mono/TOPCon/Bifacial Solar Panels,Alibaba,https://www.alibaba.com/supplier/longi-solar-panel-550w.html,draft_hidden_rfq,IEC61215/61730; CE/TUV/UL; exact model/certificate match; pallet/container freight to Kingston; breakage/warranty,Send RFQ and keep procurement-only until installer review
main,SET-PANEL-BLUESUN-610W-001,Bluesun 610W-650W Bifacial Solar Panels,Alibaba,https://spanish.alibaba.com/product-detail/Bluesun-Long-Life-Bifacial-610W-620W-1601618291394.html,draft_hidden_rfq,Exact datasheet; certifications; warranty; CIF Kingston; pallet MOQ; authorized paperwork,Send panel RFQ and require document match before quote use
main,SET-PANEL-PORTABLE-200W-001,Renogy/portable 200W foldable solar panel,Syncee,https://syncee.com/discovery/solar%20power,draft_hidden_candidate,Jamaica shipping; warranty; supplier approval; compatibility with selected generators,Check Syncee account shipping and compatibility before public listing
installed_quote,SET-QUOTE-003,3 kW Hybrid Solar Package,shop.setjamaica.com,https://shop.setjamaica.com/product/3-kw-hybrid-solar-package-quote-only/,publish_quote_only,Installer review; site survey; grid/load compatibility; customs estimate; final quote,Keep published as quote-only lead product
installed_quote,SET-QUOTE-005,5 kW Hybrid Solar Package,shop.setjamaica.com,https://shop.setjamaica.com/product/5-kw-hybrid-solar-package-quote-only/,publish_quote_only,Installer review; site survey; grid/load compatibility; customs estimate; final quote,Keep published as quote-only lead product
installed_quote,SET-QUOTE-010,10 kW SME Solar Backup Package,shop.setjamaica.com,https://shop.setjamaica.com/product/10-kw-sme-solar-backup-package-quote-only/,publish_quote_only,Installer review; site survey; grid/load compatibility; customs estimate; final quote,Keep published as quote-only lead product
installed_quote,SET-QUOTE-001,Free Jamaica Solar Readiness Review,shop.setjamaica.com,https://shop.setjamaica.com/product/free-jamaica-solar-readiness-review/,publish_quote_only,Customer contact and location details; basic load profile,Keep published as quote intake product
installed_quote,SET-QUOTE-WH,Church School and SME Energy Audit,shop.setjamaica.com,https://shop.setjamaica.com/product/church-school-and-sme-energy-audit/,publish_quote_only,Site survey; usage profile; stakeholder approval,Keep published as quote-only service product
sourcing,ALIBABA-SOLAR-KITS,3kW/5kW/10kW quote-based solar kits,Alibaba.com,,research,Supplier rating 4.6+; 500+ orders/proven B2B; 90%+ response; Jamaica freight; datasheets; CE/UL/IEC where applicable; Trade Assurance,Build RFQ shortlist
sourcing,ALIBABA-LFP-BATTERY,LiFePO4 battery bundles,Alibaba.com,,research,Certifications; MSDS/UN38.3 where applicable; inverter compatibility; Jamaica freight; written warranty; Trade Assurance,Build supplier shortlist
