priority,platform,lane,candidate,source_url,sku_or_internal_ref,status,next_action
A1,Alibaba,low-ticket wholesale,244 LED solar motion pendant/security light,https://spanish.alibaba.com/product-detail/5-Modes-Solar-Motion-Sensor-Light-1600976617939.html,SET-ACC-LIGHT-001,candidate,Ask supplier about Jamaica shipping sample warranty returns FOB under US100 and battery specs
A2,Alibaba,serious solar RFQ,Deye all-in-one 3kW/5kWh hybrid inverter and battery,https://www.alibaba.com/product-detail/Deye-All-in-one-Inverter-and_1601095723549.html,SET-QUOTE-003,rfq,Request Jamaica freight 120/240V suitability datasheets warranty service and Trade Assurance quote
A3,Alibaba,serious solar RFQ,Greensun 5kW/10kW/30kW home solar system kit,https://turkish.alibaba.com/product-detail/Deye-5kw-Hybrid-Inverter-Home-Use-1601639399836.html,SET-QUOTE-005,rfq,Request English quote DDP/CIF Jamaica freight panel inverter battery datasheets warranty Trade Assurance
A4,Alibaba,serious solar RFQ,10kW solar system with battery storage category,https://www.alibaba.com/showroom/10kw-solar-system-with-battery-storage.html,SET-QUOTE-010,rfq,Use RFQ to compare suppliers and confirm installer-compatible design
S1,Syncee,low-ticket dropship,Solar motion sensor wall lights / Lifebay and Lamp Depot options,https://syncee.com/discovery/SOLAR%20LIGHT,SET-ACC-LIGHT-001,candidate,Log in filter shipping to Jamaica request warranty returns sample
S2,Syncee,low-ticket dropship,LUM solar lantern / solar lantern options,https://syncee.com/discovery/solar,SET-ACC-LANTERN-001,candidate,Verify Jamaica shipping supplier approval and sample availability
S3,Syncee,low-ticket dropship,Solar battery camping fan with light,https://syncee.com/discovery/SOLAR%20LIGHT,SET-ACC-FAN-001,candidate,Verify real product specs shipping to Jamaica and sample
S4,Syncee,low-ticket dropship,Emporia smart plug with energy monitoring,https://syncee.com/product/539473_80608_9840660381861/smart-plug-single,SET-ACC-MONITOR-001,candidate,Verify plug type voltage app region Jamaica shipping warranty
S5,Syncee,low-ticket dropship,Smart plug discovery options,https://syncee.com/discovery/smart%20plug,SET-ACC-SMARTPLUG-001,candidate,Filter for Jamaica compatible plug voltage and shipping
C1,CJdropshipping,sample-first,LED solar motion sensor wall lamp,https://cjdropshipping.com/product/led-solar-motion-sensor-light-bright-garden-outdoor-street-wall-lamp-solar-wall-lamp-lights-outdoor-road-lamp-for-garden-yard-garage-path-p-1834592833295503360.html,SET-ACC-LIGHT-001,sample-first,Sign in calculate Jamaica shipping order sample verify waterproof battery runtime
C2,CJdropshipping,sample-first,Window-type solar power bank 5200mAh,https://cjdropshipping.com/product/window-type-solar-mobile-power-charging-treasure-p-02B2FA38-DA0C-4CA5-A7D6-4F5583A3053B.html,SET-ACC-POWERBANK-001,sample-first,Calculate Jamaica shipping sample safety check and return process
C3,CJdropshipping,sample-first,Outdoor solar camping tent light,https://cjdropshipping.com/product/outdoor-solar-camping-tent-light-p-1798308218993774592.html,SET-ACC-LANTERN-001,sample-first,Calculate Jamaica shipping sample brightness and runtime
C4,CJdropshipping,sample-first,Portable outdoor aluminum alloy camping lantern,https://cjdropshipping.com/product/portable-outdoor-aluminum-alloy-camping-lantern-p-2506290947141613500.html,SET-ACC-LANTERN-001,sample-first,Use only as add-on if sample quality passes
C5,CJdropshipping,reject-for-now,Solar charging fan hat,https://cjdropshipping.com/product/solar-charging-fan-hat---breathable-mesh-uv-protection-baseball-cap-for-men-women-summer-outdoor-sun-hat-p-1784813306574802944.html,SET-ACC-FAN-001,reject-for-now,Do not list for launch; find proper rechargeable fan instead
