priority,platform,product_lane,candidate,source_url,status,next_action
SG-A1,Alibaba,solar_generator,2000W 2000Wh LiFePO4 portable power station,https://www.alibaba.com/product-introduction/2000W-2000WH-Portable-Power-Station-Bank_1600610702204.html,rfq,Request sample price 120V 60Hz specs Jamaica shipping warranty certifications UN38.3 MSDS and MOQ tiers
SG-A2,Alibaba,solar_generator,Lipower 3000W 3200Wh LiFePO4 UPS portable power station,https://www.alibaba.com/product-detail/Lipower-3000w-3200wh-with-UPS-function_1600873799071.html,rfq,Request datasheet certifications 120V 60Hz UPS behavior Jamaica freight warranty and sample cost
SG-A3,Alibaba,solar_generator,1000W 2000W LiFePO4 portable power station,https://www.alibaba.com/product-introduction/1000w-2000w-Lifepo4-Battery-Camping-Outdoor_1600977527860.html,rfq,Request model list pricing certifications and solar input specs
SG-C1,CJdropshipping,solar_generator_sample,296Wh portable power station,https://cjdropshipping.com/product/power-station-296wh-lithium-battery-mobile-power-supply-80000mah-portable-rechargeable-battery-outdoor-energy-storage-power-supply-p-1912438641359503362.html,sample-first,Calculate Jamaica shipping and order one sample only if chemistry/safety details are acceptable
SG-S1,Syncee,solar_generator_accessory,400W foldable panel for portable power station,https://syncee.com/discovery/generators,candidate,Filter shipping to Jamaica and confirm supplier warranty compatibility
SP-A1,Alibaba,solar_panel,Bluesun 610W-650W bifacial solar panels,https://spanish.alibaba.com/product-detail/Bluesun-Long-Life-Bifacial-610W-620W-1601618291394.html,rfq,Request exact datasheets IEC61215 IEC61730 TUV UL warranty pallet price CIF Kingston
SP-A2,Alibaba,solar_panel,New Era 610W bifacial double-glass TOPCon panel,https://www.alibaba.com/product-detail/New-Era-Hot-Sale-610W-Bifacial_1601561468126.html,rfq,Verify supplier rating certificate documents exact model labels freight and warranty
SP-A3,Alibaba,solar_panel,LONGi JA Jinko Tier 1 550W-600W sourcing lane,https://www.alibaba.com/supplier/longi-solar-panel-550w.html,rfq,Request authorization proof exact certificates model matching and container/pallet quote
SP-A4,Alibaba,solar_panel,610W solar panel supplier category,https://www.alibaba.com/supplier/610w-solar-panel.html,research,Compare suppliers then shortlist only verified factories with documents
SP-S1,Syncee,portable_solar_panel,Renogy 200W portable solar panel discovery lane,https://syncee.com/discovery/solar%20power,candidate,Confirm Jamaica shipping wholesale price warranty and compatibility
